AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
TBMNC-BLD802-FL01-19B-AP0486,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865035 seconds ago
TBMNC-BLD802-FL01-AP0595,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174637 seconds ago
TBMNC-BLD802-FL01-22E-AP0513,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865029 seconds ago
TBMNC-BLD802-FL01-21A-AP0501,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865034 seconds ago
TBMNC-PE-PA_AP003,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1024823 seconds ago
TBMNC-PE-PA_AP001,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1024827 seconds ago
TBMNC-BLD801-FL01-AP0244,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174885 seconds ago
TBMNC-BLD801-FL01-AP0243,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1175269 seconds ago
TBMNC-BLD801-FL01-AP0233,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,781308 seconds ago
TBMNC-PE-PA_AP005,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1024826 seconds ago
TBMNC-BLD801-FL01-AP0260,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175239 seconds ago
TBMNC-PE-PA_AP002,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1024822 seconds ago
TBMNC-BLD801-FL01-AP0231,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175297 seconds ago
TBMNC-PE-PA_AP004,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,87382 seconds ago
TBMNC-PE-PA_AP006,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1024825 seconds ago
TBMNC-BLD801-FL01-AP0239,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1175224 seconds ago
TBMNC-BLD801-Outdoor-AP0632,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,26,0,50111 seconds ago
TBMNC-BLD801-Outdoor-AP0632,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175008 seconds ago
TBMNC-BLD801-Outdoor-AP0634,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,51,1,16037 seconds ago
TBMNC-BLD801-Outdoor-AP0634,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174938 seconds ago
TBMNC-BLD801-Outdoor-AP0635,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,24,0,662 seconds ago
TBMNC-BLD801-Outdoor-AP0635,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174982 seconds ago
TBMNC-BLD801-Outdoor-AP0633,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,1,9,0,291538 seconds ago
TBMNC-BLD801-Outdoor-AP0633,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174860 seconds ago
TBMNC-BLD801-Outdoor-AP0636,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,81,0,105 seconds ago
TBMNC-BLD801-Outdoor-AP0636,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175123 seconds ago
TBMNC-BLD801-Outdoor-AP0637,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,87,0,10944 seconds ago
TBMNC-BLD801-Outdoor-AP0637,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1049501 seconds ago
APC414-A243-E530,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102479 seconds ago
TBMNC-BLD803-TRL2-AP009,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176734 seconds ago
TBMNC-BLD803-TRL4-AP023,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,519271 seconds ago
TBMNC-BLD803-TRL4-AP020,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176758 seconds ago
APC414-A243-E610,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102447 seconds ago
APC414-A243-E630,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102474 seconds ago
APC414-A243-E6B0,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102473 seconds ago
TBMNC-BLD803-TRL1-AP003,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176766 seconds ago
